case_id,case_title,source_batch,bucket,candidate_id,title,verification_status,topic_relation,recommended_action,matched_keywords,missing_keywords,reason,url,doi,year,venue,authors
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,core,c-40822571,Surface defect detection of magnetic tile based on RT-DETR improved algorithm,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,core,c-520e4b12,A Tile Surface Defect Detection Algorithm Based on Improved YOLO11,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,core,c-e959fa3a,MT-U2Net: Lightweight detection network for high-precision magnetic tile surface defect localization,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2024,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,baseline,c-40822571,Surface defect detection of magnetic tile based on RT-DETR improved algorithm,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,baseline,c-e959fa3a,MT-U2Net: Lightweight detection network for high-precision magnetic tile surface defect localization,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2024,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-2f43f640,TransferD2: Automated Defect Detection Approach in Smart Manufacturing using Transfer Learning Techniques,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-520e4b12,A Tile Surface Defect Detection Algorithm Based on Improved YOLO11,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-5bd00de0,DeepInspect: An AI-Powered Defect Detection for Manufacturing Industries,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-67fcc687,Developing a Resource-Constraint EdgeAI model for Surface Defect Detection,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-1adf37be,3D Point Cloud Plane Segmentation Method Based on RANSAC And Support Vector Machine,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2019,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-25921dcc,Matterport3D,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-4d18e5fc,A new plane segmentation method of point cloud based on mean shift and RANSAC,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2018,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-6f8e9361,NOPE-SAC: Neural One-Plane RANSAC for Sparse-View Planar 3D Reconstruction,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2022,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-714578e3,Evaluation of Plane Detection with RANSAC According to Density of 3D Point Clouds,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2013,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-8c1d0c60,Towards Robust and Efficient Plane Detection from 3D Point Cloud,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2021,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-bde2eca9,Point Cloud Plane Fitting Based on RANSAC and Robust Eigenvalue Method,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2022,,
