case_id,case_title,source_batch,bucket,candidate_id,title,url,doi,source_type,year,venue,authors,abstract_snippet,consistency_status,axis_task,axis_object,axis_method,axis_scenario,evidence_has_title,evidence_has_abstract,evidence_has_url,evidence_title_abstract_consistent,decision_reason,role_in_paper_groups
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,core,c-40822571,Surface defect detection of magnetic tile based on RT-DETR improved algorithm,https://doi.org/10.1016/j.optlastec.2025.113956,,,2025,Optics &amp; Laser Technology,,,aligned,direct,direct,proxy,missing,True,False,True,True,2/4 axes directly match topic atoms,core
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,core,c-520e4b12,A Tile Surface Defect Detection Algorithm Based on Improved YOLO11,https://doi.org/10.1109/access.2025.3622167,,,2025,IEEE Access,,,aligned,direct,proxy,proxy,missing,True,False,True,True,1 direct + 2 proxy axis — strong topical fit,core
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,core,c-e959fa3a,MT-U2Net: Lightweight detection network for high-precision magnetic tile surface defect localization,https://doi.org/10.1016/j.mtcomm.2024.110480,,,2024,Materials Today Communications,,,aligned,proxy,direct,proxy,missing,True,False,True,True,1 direct + 2 proxy axis — strong topical fit,core
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,baseline,c-40822571,Surface defect detection of magnetic tile based on RT-DETR improved algorithm,https://doi.org/10.1016/j.optlastec.2025.113956,,,2025,Optics &amp; Laser Technology,,,aligned,direct,direct,proxy,missing,True,False,True,True,2/4 axes directly match topic atoms,core
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,baseline,c-e959fa3a,MT-U2Net: Lightweight detection network for high-precision magnetic tile surface defect localization,https://doi.org/10.1016/j.mtcomm.2024.110480,,,2024,Materials Today Communications,,,aligned,proxy,direct,proxy,missing,True,False,True,True,1 direct + 2 proxy axis — strong topical fit,core
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-2f43f640,TransferD2: Automated Defect Detection Approach in Smart Manufacturing using Transfer Learning Techniques,http://arxiv.org/abs/2302.13317v1,,,2023,,,"Quality assurance is crucial in the smart manufacturing industry as it identifies the presence of defects in finished products before they are shipped out. Modern machine learning techniques can be leveraged to provide rapid and accurate detection of these imperfections. We, therefore, propose a tra",aligned,proxy,proxy,direct,missing,True,True,True,True,1 direct + 2 proxy axis — strong topical fit,parallel
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-520e4b12,A Tile Surface Defect Detection Algorithm Based on Improved YOLO11,https://doi.org/10.1109/access.2025.3622167,,,2025,IEEE Access,,,aligned,direct,proxy,proxy,missing,True,False,True,True,1 direct + 2 proxy axis — strong topical fit,core
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-5bd00de0,DeepInspect: An AI-Powered Defect Detection for Manufacturing Industries,http://arxiv.org/abs/2311.03725v2,,,2023,,,"Utilizing Convolutional Neural Networks (CNNs), Recurrent Neural Networks (RNNs), and Generative Adversarial Networks (GANs), our system introduces an innovative approach to defect detection in manufacturing. This technology excels in precisely identifying faults by extracting intricate details from",aligned,proxy,proxy,direct,missing,True,True,True,True,1 direct + 2 proxy axis — strong topical fit,parallel
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,r3,parallel,c-67fcc687,Developing a Resource-Constraint EdgeAI model for Surface Defect Detection,http://arxiv.org/abs/2401.05355v1,,,2023,,,"Resource constraints have restricted several EdgeAI applications to machine learning inference approaches, where models are trained on the cloud and deployed to the edge device. This poses challenges such as bandwidth, latency, and privacy associated with storing data off-site for model building. Tr",aligned,direct,proxy,proxy,missing,True,True,True,True,1 direct + 2 proxy axis — strong topical fit,parallel
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,core,c-1adf37be,3D Point Cloud Plane Segmentation Method Based on RANSAC And Support Vector Machine,https://doi.org/10.1109/iciea.2019.8834367,,,2019,2019 14th IEEE Conference on Industrial Electronics and Applications (ICIEA),,,proxy,proxy,proxy,proxy,missing,True,False,True,True,3/4 axes proxy-match — adjacent topic,core
