case_id,title,stop_reason,rounds,seed_n,elapsed_s,re08_status,re09_status,trace_path
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,no_new_signal,2,29,71.82,weak,weak,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-015.json
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,no_new_signal,2,28,108.44,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-016.json
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,no_new_signal,2,39,74.47,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-018.json
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,no_new_signal,2,24,84.19,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-024.json
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,no_new_signal,2,26,82.17,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-027.json
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,no_new_signal,2,30,79.69,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-028.json
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,no_new_signal,2,22,72.1,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-032.json
ENG-THESIS-033,基于YOLOV5的肺结节检测算法研究,no_new_signal,2,30,92.26,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-033.json
ENG-THESIS-043,基于无人机平台的动态目标检测系统开发,no_new_signal,2,24,89.07,fail,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-043.json
ENG-THESIS-046,基于视觉的机械臂的目标检测和避障路径规划研究与应用,no_new_signal,2,36,73.35,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-046.json
ENG-THESIS-050,基于深度学习的自动驾驶感知算法,no_new_signal,2,24,70.85,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-050.json
ENG-THESIS-063,基于3D视觉的机械臂无序抓取系统研究,no_new_signal,2,63,62.16,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-063.json
ENG-THESIS-066,面向自动驾驶中多模态融合感知算法的攻击和防御,no_new_signal,2,42,73.95,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-066.json
ENG-THESIS-074,基于深度学习的混凝土桥梁裂缝检测研究,no_new_signal,2,31,90.76,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-074.json
ENG-THESIS-075,基于深度学习的混凝土路面裂缝检测研究,no_new_signal,2,36,83.07,fail,weak,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-075.json
ENG-THESIS-080,基于三维重建裂缝损伤检测算法研究,no_new_signal,2,31,73.92,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-080.json
ENG-THESIS-091,基于云计算的输电线路缺陷检测平台,no_new_signal,2,26,83.94,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-091.json
ENG-THESIS-092,海上风机叶片缺陷检测及分类,no_new_signal,2,26,44.2,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-092.json
ENG-THESIS-093,基于深度学习的接触网绝缘子表面缺陷图像式检测方法研究,no_new_signal,2,26,85.59,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-093.json
ENG-THESIS-096,基于石墨烯薄膜电热效应的风机叶片防冰除冰系统研究,no_new_signal,2,28,79.18,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-096.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,no_new_signal,2,18,63.51,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,no_new_signal,2,21,63.56,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-003.json
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,no_new_signal,2,32,82.25,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-004.json
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,no_new_signal,2,217,68.62,weak,weak,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-005.json
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,no_new_signal,2,22,83.39,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-010.json
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,no_new_signal,2,30,76.9,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-014.json
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,no_new_signal,2,38,80.55,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-022.json
ENG-THESIS-035,基于深度学习的带钢表面缺陷检测方法,no_new_signal,2,27,70.63,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-035.json
ENG-THESIS-040,基于改进YOLO网络与极限学习机的绝缘子故障检测,no_new_signal,2,24,90.25,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-040.json
ENG-THESIS-048,面向动态环境的视觉SLAM研究,no_new_signal,2,32,79.03,fail,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-048.json
ENG-THESIS-051,基于深度学习的语义SLAM研究,no_new_signal,2,18,63.05,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-051.json
ENG-THESIS-058,基于深度学习的激光点云环境感知,no_new_signal,2,46,93.38,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-058.json
ENG-THESIS-060,基于深度学习的车道线检测方法研究,no_new_signal,2,29,72.19,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-060.json
ENG-THESIS-064,面向复杂道路场景的车辆目标检测算法研究与实现,no_new_signal,2,23,81.13,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-064.json
ENG-THESIS-072,基于深度学习的动态SLAM研究,no_new_signal,2,23,79.27,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-072.json
ENG-THESIS-073,面向汽车自动驾驶的模拟图像生成技术及应用研究,no_new_signal,2,35,84.7,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-073.json
ENG-THESIS-079,基于结构光的隧道裂缝检测技术研究与实现,no_new_signal,2,33,76.85,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-079.json
ENG-THESIS-083,基于多分辨率网络的桥梁裂缝分割算法研究,no_new_signal,2,48,100.84,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-083.json
ENG-THESIS-089,基于深度学习和双目立体视觉的道路路面损伤检测研究,no_new_signal,2,25,86.45,weak,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-089.json
ENG-THESIS-100,基于深度学习的配电设备视觉识别技术研究,no_new_signal,2,36,88.67,pass,fail,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-100.json
