case_id,case_title,source_batch,priority,bucket,candidate_id,title,verification_status,topic_relation,recommended_action,matched_keywords,missing_keywords,reason,url,doi,year,venue,authors,source_type,repair_query,repair_source
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W1641498739,The Multimodal Brain Tumor Image Segmentation Benchmark (BRATS),,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background small object detection benchmark,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W1641498739,The Multimodal Brain Tumor Image Segmentation Benchmark (BRATS),,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background small object detection benchmark,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2031489346,The Pascal Visual Object Classes (VOC) Challenge,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background small object detection benchmark,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2031489346,The Pascal Visual Object Classes (VOC) Challenge,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background X detection,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2031489346,The Pascal Visual Object Classes (VOC) Challenge,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background small object detection benchmark,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2031489346,The Pascal Visual Object Classes (VOC) Challenge,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background X detection,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2473156356,Using Deep Learning for Image-Based Plant Disease Detection,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background X detection,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2473156356,Using Deep Learning for Image-Based Plant Disease Detection,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background X detection,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2988916019,Deep Learning for Generic Object Detection: A Survey,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background small object detection benchmark,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,re09_fresh,weak,paper,https://openalex.org/W2988916019,Deep Learning for Generic Object Detection: A Survey,,,keep_as_proxy,,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing,,,,,,openalex,random texture background X detection,
