case_id,title,status,re08_status,availability_level,evidence_strength_label,gap_flags,paper_n,baseline_n,parallel_n,dataset_n,repo_n,topic_dataset_n,proxy_dataset_n,pretrain_dataset_n,generic_dataset_n,core_n,effective_core_n,effective_baseline_n,effective_parallel_n,quarantined_baseline_n,quarantined_parallel_n,quarantined_core_n,critical_consistency_error_n,metadata_mismatch_n,off_topic_core_n,verification_verified_n,verification_repaired_n,verification_quarantined_n,verification_not_found_n,axis_status,axis_missing_reasons,evidence_gap_reasons,notes,fresh_new_candidates_n,fresh_buckets,fresh_elapsed_s,adapter_count,source_batch,reason
ENG-THESIS-043,基于无人机平台的动态目标检测系统开发,fail,fail,blocked,high,no_effective_core,3,0,12,0,0,3,,,,0,0,0,12,,,,,,,5,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,63.04,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-075,基于深度学习的混凝土路面裂缝检测研究,weak,fail,needs_supplement,high,,9,0,12,0,0,0,,,,9,9,0,12,,,,,,,11,0,0,1,,,effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note,,21,core_paper=9;parallel_paper=12,78.82,huggingface=4;github=1;arxiv=2;openalex=5,,effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note
ENG-THESIS-048,面向动态环境的视觉SLAM研究,fail,fail,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,0,0,0,6,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;object_axis_missing;scenario_axis_missing,,12,parallel_paper=12,53.0,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; object_axis_missing; scenario_axis_missing
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,weak,weak,needs_supplement,high,no_effective_core;object_axis_missing;scenario_axis_missing,0,6,18,0,0,0,,,,0,0,6,18,,,,,,,5,0,0,7,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;dataset+repo=0 < 1;no_dataset_or_data_gap_note;object_axis_missing;scenario_axis_missing,,24,baseline=6;parallel_paper=18,96.08,huggingface=6;github=3;openalex=6,,paper_n=0 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing; scenario_axis_missing
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,3,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,53.21,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,fail,weak,blocked,high,no_effective_core,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,12,parallel_paper=12,63.38,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-066,面向自动驾驶中多模态融合感知算法的攻击和防御,fail,weak,blocked,medium,no_effective_core,3,0,12,0,0,1,,,,0,0,0,12,,,,,,,4,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,54.17,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-080,基于三维重建裂缝损伤检测算法研究,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,1,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,55.47,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-091,基于云计算的输电线路缺陷检测平台,fail,weak,blocked,high,no_effective_core;scenario_axis_missing,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,6,0,0,0,,scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;scenario_axis_missing,,12,parallel_paper=12,68.4,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; scenario_axis_missing
ENG-THESIS-093,基于深度学习的接触网绝缘子表面缺陷图像式检测方法研究,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,2,,,,0,0,0,12,,,,,,,5,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,72.78,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
