case_id,title,status,availability_level,evidence_strength_label,gap_flags,paper_n,baseline_n,parallel_n,dataset_n,repo_n,topic_dataset_n,proxy_dataset_n,pretrain_dataset_n,generic_dataset_n,core_n,effective_core_n,effective_baseline_n,effective_parallel_n,quarantined_baseline_n,quarantined_parallel_n,quarantined_core_n,critical_consistency_error_n,metadata_mismatch_n,off_topic_core_n,verification_verified_n,verification_repaired_n,verification_quarantined_n,verification_not_found_n,axis_status,axis_missing_reasons,evidence_gap_reasons,notes,source_batch,reason
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,weak,needs_supplement,low,object_axis_missing;scenario_axis_missing,17,2,3,0,0,0,,,,1,1,2,3,0,0,0,6,0,1,0,0,0,5,evaluable,object_axis_missing;scenario_axis_missing,dataset+repo=0 < 1;no_dataset_or_data_gap_note;object_axis_missing;scenario_axis_missing,data_source_gap_needs_confirmation,batch1,dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing; scenario_axis_missing
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,pass,ready,high,scenario_axis_missing,22,4,6,0,6,0,,,,6,6,4,6,0,0,0,0,0,0,11,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,batch1,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,34,1,7,3,2,0,,,,4,4,1,7,0,0,0,0,0,0,11,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,batch1,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,weak,needs_supplement,high,topic_dataset_missing;no_effective_core;scenario_axis_missing,22,4,2,1,0,0,,,,0,0,4,2,0,0,0,0,0,0,6,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,batch2,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,weak,needs_supplement,medium,no_effective_core;scenario_axis_missing,15,3,1,0,1,0,,,,0,0,3,1,0,0,0,0,0,0,4,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,batch2,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-033,基于YOLOV5的肺结节检测算法研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,27,5,9,2,1,0,,,,7,7,5,9,0,0,0,1,0,1,15,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,batch2,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-043,基于无人机平台的动态目标检测系统开发,fail,blocked,high,topic_dataset_missing;scenario_axis_missing,16,3,3,2,0,0,,,,4,3,3,2,0,1,1,2,2,0,5,0,1,0,evaluable,scenario_axis_missing,quarantined_candidates=2;datasets_present_but_no_topic_dataset;all_evidence_critical_consistency_error;scenario_axis_missing,,batch2,quarantined_candidates=2; datasets_present_but_no_topic_dataset; all_evidence_critical_consistency_error; scenario_axis_missing
ENG-THESIS-050,基于深度学习的自动驾驶感知算法,pass,ready,high,topic_dataset_missing;scenario_axis_missing,22,3,8,2,0,0,,,,4,4,3,8,0,0,0,0,0,0,11,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,batch3,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-063,基于3D视觉的机械臂无序抓取系统研究,pass,ready,high,scenario_axis_missing,57,7,6,0,6,0,,,,11,11,7,6,0,0,0,0,0,0,16,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,batch3,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-066,面向自动驾驶中多模态融合感知算法的攻击和防御,weak,needs_supplement,high,topic_dataset_missing;no_effective_core;scenario_axis_missing,28,4,2,2,6,0,,,,0,0,4,2,0,0,0,0,0,0,6,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,batch3,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,19,3,7,2,3,0,,,,3,3,3,7,0,0,0,1,0,0,9,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r1,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,pass,ready,high,topic_dataset_missing;scenario_axis_missing,19,3,2,2,5,0,,,,5,5,3,2,0,0,0,1,0,1,6,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r1,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-046,基于视觉的机械臂的目标检测和避障路径规划研究与应用,pass,ready,high,scenario_axis_missing,30,3,6,0,6,0,,,,3,3,3,6,0,0,0,2,0,1,8,0,0,1,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r1,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-074,基于深度学习的混凝土桥梁裂缝检测研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,24,2,5,1,6,0,,,,2,2,2,5,0,0,0,0,0,0,7,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r1,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-075,基于深度学习的混凝土路面裂缝检测研究,fail,blocked,high,no_effective_core;quarantined_baseline;scenario_axis_missing,19,3,3,0,6,0,,,,1,0,2,3,1,0,1,2,2,0,5,0,1,0,evaluable,scenario_axis_missing,quarantined_candidates=2;no_dataset_or_data_gap_note;core_n=1_but_no_effective_core;all_evidence_critical_consistency_error;scenario_axis_missing,data_source_gap_needs_confirmation,r1,quarantined_candidates=2; no_dataset_or_data_gap_note; core_n=1_but_no_effective_core; all_evidence_critical_consistency_error; scenario_axis_missing
ENG-THESIS-080,基于三维重建裂缝损伤检测算法研究,weak,needs_supplement,high,topic_dataset_missing;no_effective_core;scenario_axis_missing,17,4,4,1,6,0,,,,0,0,4,4,0,0,0,1,0,0,7,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r2,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-091,基于云计算的输电线路缺陷检测平台,weak,needs_supplement,high,scenario_axis_missing,20,4,2,0,0,0,,,,2,2,4,2,0,0,0,0,0,0,6,0,0,0,evaluable,scenario_axis_missing,dataset+repo=0 < 1;no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r2,dataset+repo=0 < 1; no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-092,海上风机叶片缺陷检测及分类,pass,ready,high,topic_dataset_missing;scenario_axis_missing,17,2,7,3,6,0,,,,2,2,2,7,0,0,0,1,0,0,8,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r2,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-093,基于深度学习的接触网绝缘子表面缺陷图像式检测方法研究,weak,needs_supplement,high,topic_dataset_missing;no_effective_core;scenario_axis_missing,15,4,4,3,1,0,,,,0,0,4,4,0,0,0,0,0,0,8,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r2,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-096,基于石墨烯薄膜电热效应的风机叶片防冰除冰系统研究,weak,needs_supplement,medium,scenario_axis_missing,22,1,3,0,0,0,,,,1,1,1,3,0,0,0,0,0,0,4,0,0,0,evaluable,scenario_axis_missing,dataset+repo=0 < 1;no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r2,dataset+repo=0 < 1; no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,pass,ready,high,scenario_axis_missing,17,2,4,0,1,0,,,,3,3,2,4,0,0,0,0,0,0,6,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r3,no_dataset_or_data_gap_note; scenario_axis_missing
