case_id,title,verdict,relation_to_topic,source_type,hit_keywords,unrelated_keywords,needs_human_confirm,url_missing,linked_dataset_name,linked_dataset_url,linked_repo_url,role_used_for,note
re11-l3-steel-yolov5,Faster Metallic Surface Defect Detection Using Deep Learning with Channel Shuffling,accept,direct,paper,"YOLOv5; metallic surface defect; steel surfaces; NEU-DET; GC10-DET",Channel Shuffling,false,false,,,null,,parallel,url_missing_needs_repair
re11-l3-steel-yolov5,STS-YOLO: A lightweight model for steel surface defect detection based on YOLOv5,accept,direct,paper,"YOLOv5; steel surface defect","lightweight model; attention modules; real-time",false,false,,,,,parallel,url_missing_needs_repair
re11-l3-steel-yolov5,An Improved YOLOv5 for Steel Surface Defect Detection with Channel Pruning and Context Aggregation,accept,direct,paper,"YOLOv5; steel surface defect; NEU-DET","Channel Pruning; Context Aggregation",false,false,,,,,parallel,url_missing_needs_repair
re11-l3-steel-yolov5,Real-Time Detection of Steel Surface Defects Using an Enhanced YOLOv5 Detector,accept,direct,paper,"YOLOv5; steel surface defects; GC10-DET","Real-Time; Enhanced Detector",false,false,,,,,parallel,null
re11-l3-steel-yolov5,Deep Learning for Medical Image Classification in Chest X-ray Diagnosis,reject/reject_or_weak,none,decoy医学,,医学,医疗,X-ray,,,,,noise,decoy: 正确 reject / avoid_terms=医疗medical
re11-l3-semantic-slam,Semantic Visual Simultaneous Localization and Mapping: A Survey on State of the Art Challenges and Future Directions,accept,survey,survey,"Semantic; Visual; SLAM; semantic mapping",,false,false,,,,baseline(扩展关键词),survey
re11-l3-semantic-slam,Evaluating the Impact of Semantic Segmentation and Pose Estimation on Dense Semantic SLAM,accept,direct,paper,"Semantic Segmentation; SLAM; semantic mapping","Pose Estimation; Dense",false,false,,,,,parallel,direct
re11-l3-semantic-slam,Kimera: an Open-Source Library for Real-Time Metric-Semantic Localization and Mapping,accept,baseline,repo,"Kimera; Semantic; SLAM; real-time; mapping","Open-Source Library; Metric",false,false,,,https://github.com/MIT-SPARK/Kimera,https://github.com/MIT-SPARK/Kimera,baseline,Kimera 官方 repo (MIT-SPARK)
re11-l3-semantic-slam,Real-Time Monocular Object-Model Aware Sparse SLAM,accept,direct,paper,"Real-Time; Monocular; SLAM","Object-Model Aware; Sparse",false,false,,,,,parallel,direct
re11-l3-semantic-slam,SoCubeSLAM: Semantic Object CubeSLAM for Monocular Visual SLAM,accept,baseline,paper,"Semantic; Object; SLAM; Monocular; Visual SLAM","SoCubeSLAM; CubeSLAM",false,false,"TUM RGB-D KITTI EuRoC MAV SOCO",https://github.com/SoCubeSLAM/SoCubeSLAM,https://github.com/SoCubeSLAM/SoCubeSLAM,baseline,SoCubeSLAM+多 SLAM 数据集
re11-l3-semantic-slam,Deep Reinforcement Learning for Stock Portfolio Management,reject/reject_or_weak,none,decoy金融,,,false,false,,,,noise,decoy: 正确 reject / 金融
re11-l3-medical-llm,Uncertainty Estimation of Large Language Models in Medical Question Answering,accept,direct,paper,"大语言模型; 医疗问答; 置信度; 幻觉检测; 可靠性",,false,false,,,,,parallel,direct(指向 baseline 功能)
re11-l3-medical-llm,MedHallu: A Comprehensive Benchmark for Detecting Medical Hallucinations in Large Language Models,accept,direct,paper,"大语言模型; 医疗问答; 幻觉检测",,false,false,,,,,parallel,hallucination benchmark
re11-l3-medical-llm,MedExpQA: Multilingual benchmarking of Large Language Models for Medical Question Answering,accept,direct,paper,"大语言模型; 医疗问答; 幻觉检测",multilingual,false,false,,,,,parallel,含 幻觉 评测维度
re11-l3-medical-llm,Can Large Language Models Self-Correct in Medical Question Answering? An Exploratory Study,accept,direct,paper,"大语言模型; 医疗问答; 可靠性",,false,false,,,,,parallel,self-correct→可信度
re11-l3-medical-llm,Self-MedRAG: a Self-Reflective Hybrid Retrieval-Augmented Generation Framework for Reliable Medical Question Answering,accept,direct,paper,"大语言模型; 医疗问答; 可靠性","retrieval-augmented generation; hybrid",false,false,"MedQuAD PubMedQA MedMCQA",https://github.com/HealthCatalyst/self-medrag,https://github.com/HealthCatalyst/self-medrag,parallel,repo 由 extractor 抽取，待人工确认
re11-l3-medical-llm,RGAR: Recurrence Generation-augmented Retrieval for Factual-aware Medical Question Answering,accept,direct,paper,"大语言模型; 医疗问答","factual-aware; recurrence generation",false,false,,,,,parallel,factual QA
re11-l3-medical-llm,Deep Reinforcement Learning for Stock Portfolio Management,reject/reject_or_weak,none,decoy金融,,,false,false,,,,noise,decoy: 正确 reject / 金融
