case_id,title,domain_route,re10_status,stop_reason,evidence_status,adapter_attempt_n,adapter_success_n,adapter_error_n,missing_client_n,new_candidates_n,accepted_candidates_n,query_repair_n,url_repair_n,empty_url_n,provider_error_summary,provider_circuit_breaker,query_placeholder_leaks,chinese_query_leaks,fixed_unet_fallback_seen,primary_failure_mode,accepted_titles,rejected_noise_titles,trace_path
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,,max_rounds,max_rounds,pass,9,9,0,0,11,11,0,0,0,{},,[],[],False,n/a,"[""R3eVision: A Survey on Robust Rendering, Restoration, and Enhancement for 3D Low"", ""Advances in Global Solvers for 3D Vision"", ""VLP: A Survey on Vision-Language Pre-training"", ""The Evolution of First Person Vision Methods: A Survey"", ""Vision Mamba: A Comprehensive Survey and Taxonomy"", ""Advances in Feed-Forward 3D Reconstruction and View Synthesis: A Survey"", ""Recovering 3D Human Mesh from Monocular Images: A Survey"", ""A rich bounty of AGN in the 9 square degree Bootes survey: high-z obscured AGN a""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-015.json
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,,max_rounds,max_rounds,pass,9,9,0,0,15,15,0,0,0,{},,[],[],False,n/a,"[""Learn to Accumulate Evidence from All Training Samples: Theory and Practice"", ""The Modern Mathematics of Deep Learning"", ""Deep Learning and Computational Physics (Lecture Notes)"", ""Self-supervised Learning of Contextualized Local Visual Embeddings"", ""Monodense Deep Neural Model for Determining Item Price Elasticity"", ""A multitask deep learning model for real-time deployment in embedded systems"", ""Deep learning observables in computational fluid dynamics"", ""DILIE: Deep Internal Learning for Image Enhancement""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-016.json
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,,max_rounds,max_rounds,pass,9,9,0,0,13,13,0,0,0,{},,[],[],False,n/a,"[""Enhancing Performance of Point Cloud Completion Networks with Consistency Loss"", ""Cascaded Refinement Network for Point Cloud Completion with Self-supervision"", ""Sequential Point Clouds: A Survey"", ""A Systematic Approach for Cross-source Point Cloud Registration by Preserving Ma"", ""R3eVision: A Survey on Robust Rendering, Restoration, and Enhancement for 3D Low"", ""Advances in Global Solvers for 3D Vision"", ""DC-PCN: Point Cloud Completion Network with Dual-Codebook Guided Quantization"", ""PCN: Point Completion Network""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-018.json
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,,max_rounds,max_rounds,pass,9,9,0,0,11,11,0,0,0,{},,[],[],False,n/a,"[""A Systematic Approach for Cross-source Point Cloud Registration by Preserving Ma"", ""Deep Models with Fusion Strategies for MVP Point Cloud Registration"", ""Automatic marker-free registration based on similar tetrahedras for single-tree "", ""Geometry-to-Image Synthesis-Driven Generative Point Cloud Registration"", ""R3eVision: A Survey on Robust Rendering, Restoration, and Enhancement for 3D Low"", ""Advances in Global Solvers for 3D Vision"", ""Cortical surface registration using unsupervised learning"", ""A Tutorial about Random Neural Networks in Supervised Learning""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-024.json
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,,max_rounds,max_rounds,pass,9,9,0,0,12,12,0,0,0,{},,[],[],False,n/a,"[""Oriented object detection in optical remote sensing images using deep learning: "", ""Improving the Detection of Small Oriented Objects in Aerial Images"", ""Object Contour and Edge Detection with RefineContourNet"", ""Exploring Depth Contribution for Camouflaged Object Detection"", ""PVAFN: Point-Voxel Attention Fusion Network with Multi-Pooling Enhancing for 3D "", ""TJU-DHD: A Diverse High-Resolution Dataset for Object Detection"", ""HIC-YOLOv5: Improved YOLOv5 For Small Object Detection"", ""A Survey of Self-Supervised and Few-Shot Object Detection""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-027.json
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,,max_rounds,max_rounds,pass,9,9,0,0,11,11,0,0,0,{},,[],[],False,n/a,"[""Adversarial Attack On Yolov5 For Traffic And Road Sign Detection"", ""YOLOv5 vs. YOLOv8 in Marine Fisheries: Balancing Class Detection and Instance Co"", ""HIC-YOLOv5: Improved YOLOv5 For Small Object Detection"", ""YOLOv5s-GTB: light-weighted and improved YOLOv5s for bridge crack detection"", ""UTD-Yolov5: A Real-time Underwater Targets Detection Method based on Attention I"", ""Fire Detection From Image and Video Using YOLOv5"", ""Detecting Botnets Through Log Correlation"", ""COVID-19 Detection Using CT Image Based On YOLOv5 Network""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-028.json
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,,max_rounds,max_rounds,pass,9,9,0,0,12,12,0,0,0,{},,[],[],False,n/a,"[""Learn to Accumulate Evidence from All Training Samples: Theory and Practice"", ""The Modern Mathematics of Deep Learning"", ""Oriented object detection in optical remote sensing images using deep learning: "", ""A New Benchmark Dataset for Texture Image Analysis and Surface Defect Detection"", ""DeepInspect: An AI-Powered Defect Detection for Manufacturing Industries"", ""Deep Learning and Computational Physics (Lecture Notes)"", ""A Hybrid Deep Learning Anomaly Detection Framework for Intrusion Detection"", ""TransferD2: Automated Defect Detection Approach in Smart Manufacturing using Tra""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-032.json
ENG-THESIS-033,基于YOLOV5的肺结节检测算法研究,,max_rounds,max_rounds,pass,9,9,0,0,11,11,0,0,0,{},,[],[],False,n/a,"[""Identification of lung nodules CT scan using YOLOv5 based on convolution neural "", ""Integrating Feature and Image Pyramid: A Lung Nodule Detector Learned in Curricu"", ""Crowdsourcing Lung Nodules Detection and Annotation"", ""Lung-DETR: Deformable Detection Transformer for Sparse Lung Nodule Anomaly Detec"", ""Lung Nodules Detection and Segmentation Using 3D Mask-RCNN"", ""Lung Nodule-SSM: Self-Supervised Lung Nodule Detection and Classification in Tho"", ""Improved Focus on Hard Samples for Lung Nodule Detection"", ""X-ray Dissectography Improves Lung Nodule Detection""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-033.json
ENG-THESIS-043,基于无人机平台的动态目标检测系统开发,,max_rounds,max_rounds,pass,9,9,0,0,13,13,0,0,0,{},,[],[],False,n/a,"[""Oriented object detection in optical remote sensing images using deep learning: "", ""Object Contour and Edge Detection with RefineContourNet"", ""Exploring Depth Contribution for Camouflaged Object Detection"", ""PVAFN: Point-Voxel Attention Fusion Network with Multi-Pooling Enhancing for 3D "", ""TJU-DHD: A Diverse High-Resolution Dataset for Object Detection"", ""SOD-YOLOv8 -- Enhancing YOLOv8 for Small Object Detection in Traffic Scenes"", ""A Survey of Self-Supervised and Few-Shot Object Detection"", ""Barcode and QR Code Object Detection: An Experimental Study on YOLOv8 Models""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-043.json
ENG-THESIS-046,基于视觉的机械臂的目标检测和避障路径规划研究与应用,,max_rounds,max_rounds,pass,9,8,1,0,10,10,0,0,0,"{""github"": 1}",github: fb=huggingface,[],[],False,n/a,"[""Oriented object detection in optical remote sensing images using deep learning: "", ""A Survey of Self-Supervised and Few-Shot Object Detection"", ""3D Object Detection for Autonomous Driving: A Comprehensive Survey"", ""Object Contour and Edge Detection with RefineContourNet"", ""AIn't Nothing But a Survey? Using Large Language Models for Coding German Open-E"", ""Exploring Depth Contribution for Camouflaged Object Detection"", ""PVAFN: Point-Voxel Attention Fusion Network with Multi-Pooling Enhancing for 3D "", ""MS-YOLO: Infrared Object Detection for Edge Deployment via MobileNetV4 and Slide""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_iter3_combined\traces\ENG-THESIS-046.json
