case_id,case_title,bucket,candidate_id,title,source_run,url,doi,year,venue,verification_status,added_in_round,trace_path
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,repo,c-04859034,Yonatan-Estifanos-github/SurfaceDefectNet-Deep-Learning-for-Surface-Defect-Detection,re08,https://github.com/Yonatan-Estifanos-github/SurfaceDefectNet-Deep-Learning-for-Surface-Defect-Detection,,,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-12191345,Oriented object detection in optical remote sensing images using deep learning: a survey,re08,http://arxiv.org/abs/2302.10473v6,,2023,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-17d55e45,The Modern Mathematics of Deep Learning,re08,http://arxiv.org/abs/2105.04026v2,,2021,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-18e97da6,Deep Learning and Computational Physics (Lecture Notes),re08,http://arxiv.org/abs/2301.00942v1,,2023,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-20a0d419,AIn't Nothing But a Survey? Using Large Language Models for Coding German Open-Ended Survey Responses on Survey Motivation,re08,http://arxiv.org/abs/2506.14634v3,,2025,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-2a479331,The Methanol Multibeam Survey,re08,http://arxiv.org/abs/1210.0979v1,,2012,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-2f43f640,TransferD2: Automated Defect Detection Approach in Smart Manufacturing using Transfer Learning Techniques,re08,http://arxiv.org/abs/2302.13317v1,,2023,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-35fcc874,Learn to Accumulate Evidence from All Training Samples: Theory and Practice,re08,http://arxiv.org/abs/2306.11113v2,,2023,,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-40822571,Surface defect detection of magnetic tile based on RT-DETR improved algorithm,re08,https://doi.org/10.1016/j.optlastec.2025.113956,,2025,Optics &amp; Laser Technology,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,reference,c-48f07d85,PCB-defect: An annotated dataset for surface defect detection in printed circuit boards,re08,https://doi.org/10.1016/j.dib.2025.112296,,2026,Data in Brief,,,G:\PaperAgent\tmp_re04_eval\balanced40_re10_reflection\traces\ENG-THESIS-002.json
